ListingID,HostID,NeighbourhoodName,RoomTypeName,Latitude,Longitude,Price,Availability365,SnapshotDate
4401177,11174748,Bruxelles,Private room,50.85234,4.34616,120.0,294,2025-06-21
4429504,22994727,Bruxelles,Entire home/apt,50.8588,4.35067,73.0,252,2025-06-21
4467578,13234621,Schaerbeek,Private room,50.85662,4.3729,24.0,153,2025-06-21
4488570,19727163,Woluwe-Saint-Lambert,Private room,50.85031,4.43411,26.0,14,2025-06-21
4570070,23689725,Uccle,Private room,50.79446,4.35625,38.0,341,2025-06-21
4587186,2330188,Bruxelles,Entire home/apt,50.84951,4.34783,269.0,152,2025-06-21
4631220,19408422,Ixelles,Entire home/apt,50.82479,4.37441,62.0,290,2025-06-21
4649138,24068031,Koekelberg,Entire home/apt,50.86562728881836,4.327267169952393,133.0,273,2025-06-21
4661835,24122544,Watermael-Boitsfort,Private room,50.79342,4.40594,70.0,9,2025-06-21
4678101,1321998,Ixelles,Entire home/apt,50.8305,4.36482,79.0,1,2025-06-21
4717282,17806660,Ixelles,Private room,50.81978,4.38941,79.0,364,2025-06-21
4769428,24605046,Molenbeek-Saint-Jean,Private room,50.85216,4.33014,22.0,138,2025-06-21
4805680,10689094,Woluwe-Saint-Lambert,Entire home/apt,50.848,4.42434,250.0,88,2025-06-21
4826880,11176333,Schaerbeek,Entire home/apt,50.84974,4.40016,73.0,108,2025-06-21
4827060,5279975,Anderlecht,Entire home/apt,50.83463,4.32411,67.0,336,2025-06-21
4891383,25166993,Ixelles,Entire home/apt,50.83451,4.37393,66.0,246,2025-06-21
4918742,7455749,Auderghem,Entire home/apt,50.82081,4.40754,59.0,172,2025-06-21
4924587,25364619,Bruxelles,Entire home/apt,50.8458,4.35382,135.0,343,2025-06-21
4924828,25367149,Jette,Entire home/apt,50.86718,4.32399,46.0,174,2025-06-21
4936054,11657149,Saint-Gilles,Entire home/apt,50.83351,4.35106,45.0,76,2025-06-21
4945510,1400691,Woluwe-Saint-Lambert,Entire home/apt,50.84279,4.41832,150.0,291,2025-06-21
4956740,4411779,Auderghem,Entire home/apt,50.80295,4.43582,120.0,320,2025-06-21
4963651,25573952,Ixelles,Private room,50.81987,4.38374,61.0,294,2025-06-21
4985457,17408106,Ixelles,Entire home/apt,50.83418,4.36483,67.0,197,2025-06-21
5000033,25784147,Ixelles,Entire home/apt,50.8156,4.35124,122.0,343,2025-06-21
5124845,26488815,Ixelles,Private room,50.82824,4.35914,68.0,362,2025-06-21
5141434,26549558,Molenbeek-Saint-Jean,Entire home/apt,50.860882,4.305443,116.0,342,2025-06-21
5171770,26747600,Saint-Josse-ten-Noode,Entire home/apt,50.84914,4.37115,124.0,296,2025-06-21
5178801,24180047,Woluwe-Saint-Lambert,Entire home/apt,50.83984,4.40746,72.0,349,2025-06-21
5190962,6018684,Anderlecht,Entire home/apt,50.84149169921875,4.3288350105285645,68.0,295,2025-06-21
5260383,27228797,Saint-Gilles,Entire home/apt,50.83111,4.34442,72.0,197,2025-06-21
5294325,27418032,Saint-Gilles,Private room,50.82679,4.33821,32.0,288,2025-06-21
5308035,27490586,Anderlecht,Entire home/apt,50.8489,4.3095,56.0,236,2025-06-21
5332579,8546214,Anderlecht,Private room,50.83153,4.30796,69.0,341,2025-06-21
5344103,27540225,Anderlecht,Private room,50.83455,4.32553,85.0,81,2025-06-21
5371675,11657149,Saint-Gilles,Entire home/apt,50.83349,4.35278,52.0,357,2025-06-21
5377525,27878152,Woluwe-Saint-Pierre,Entire home/apt,50.83611,4.42931,59.0,299,2025-06-21
5393632,27957671,Schaerbeek,Entire home/apt,50.86643,4.36357,117.0,111,2025-06-21
5409447,16167120,Uccle,Private room,50.79999,4.35663,218.0,338,2025-06-21
5410074,16167120,Uccle,Private room,50.79858,4.35647,189.0,344,2025-06-21
5507659,28565592,Forest,Entire home/apt,50.82614,4.33706,62.0,77,2025-06-21
5577681,28918718,Bruxelles,Entire home/apt,50.88677,4.34254,63.0,115,2025-06-21
5577769,28918718,Bruxelles,Entire home/apt,50.88506,4.34097,74.0,169,2025-06-21
5623832,10651089,Schaerbeek,Entire home/apt,50.84475,4.40039,76.0,8,2025-06-21
5692745,29495826,Bruxelles,Entire home/apt,50.84647,4.34878,81.0,114,2025-06-21
5793552,12262776,Watermael-Boitsfort,Entire home/apt,50.80297,4.4181,44.0,176,2025-06-21
5798532,15207349,Jette,Entire home/apt,50.87814,4.33231,44.0,43,2025-06-21
5835044,24627891,Bruxelles,Entire home/apt,50.83198,4.35999,111.0,56,2025-06-21
5871968,30490593,Bruxelles,Entire home/apt,50.84634,4.38015,110.0,290,2025-06-21
5908949,5818707,Bruxelles,Entire home/apt,50.809349060058594,4.385969161987305,110.0,334,2025-06-21
5909281,26283277,Bruxelles,Private room,50.84090423583984,4.34386682510376,89.0,254,2025-06-21
5925353,30766980,Bruxelles,Private room,50.84789,4.34398,238.0,211,2025-06-21
5935392,1847778,Ixelles,Private room,50.83011,4.37007,165.0,270,2025-06-21
5965006,30766980,Bruxelles,Private room,50.84789,4.34398,266.0,211,2025-06-21
5965178,30766980,Bruxelles,Entire home/apt,50.84789,4.34398,597.0,211,2025-06-21
5980568,30766980,Bruxelles,Private room,50.84789,4.34398,108.0,211,2025-06-21
6010933,23082521,Bruxelles,Entire home/apt,50.84846,4.38119,35.0,0,2025-06-21
6016246,31228254,Saint-Gilles,Entire home/apt,50.82844,4.35214,90.0,10,2025-06-21
6021045,876633,Bruxelles,Entire home/apt,50.86502,4.35308,75.0,183,2025-06-21
6052975,31409721,Auderghem,Private room,50.8193,4.42995,68.0,301,2025-06-21
6062684,31466716,Jette,Private room,50.87289,4.32347,35.0,51,2025-06-21
6067867,23082521,Bruxelles,Private room,50.84932,4.38031,30.0,228,2025-06-21
6082055,3071021,Woluwe-Saint-Pierre,Entire home/apt,50.83396,4.42945,306.0,321,2025-06-21
6083583,232654,Bruxelles,Entire home/apt,50.84273,4.34367,111.0,293,2025-06-21
6128144,21515029,Bruxelles,Entire home/apt,50.8297,4.36183,622.0,150,2025-06-21
6155284,26840232,Schaerbeek,Private room,50.86957,4.39287,57.0,360,2025-06-21
6175585,32037583,Bruxelles,Entire home/apt,50.84698,4.35729,131.0,273,2025-06-21
6176433,32037583,Bruxelles,Entire home/apt,50.8469,4.38072,131.0,281,2025-06-21
6177390,32037583,Bruxelles,Entire home/apt,50.81687,4.37143,95.0,20,2025-06-21
6189018,32101863,Bruxelles,Entire home/apt,50.82031,4.37145,786.0,325,2025-06-21
6191537,21971509,Molenbeek-Saint-Jean,Private room,50.86547,4.33724,46.0,356,2025-06-21
6220645,31403914,Jette,Entire home/apt,50.86896,4.3305,58.0,230,2025-06-21
6222803,28635259,Bruxelles,Private room,50.89633,4.39617,40.0,365,2025-06-21
6230446,32324419,Bruxelles,Entire home/apt,50.84276,4.35256,210.0,364,2025-06-21
6232624,26342065,Saint-Gilles,Entire home/apt,50.82626,4.34195,127.0,40,2025-06-21
6264225,32554462,Ixelles,Entire home/apt,50.83286,4.37088,130.0,217,2025-06-21
6283675,32664222,Etterbeek,Entire home/apt,50.8305424967638,4.386815332843171,52.0,0,2025-06-21
6295772,32037583,Bruxelles,Entire home/apt,50.84634,4.35549,131.0,82,2025-06-21
6296382,23689725,Uccle,Private room,50.79303,4.35672,34.0,349,2025-06-21
6319050,32037583,Bruxelles,Entire home/apt,50.84642,4.35643,131.0,0,2025-06-21
6319336,32037583,Bruxelles,Entire home/apt,50.84651,4.35552,131.0,344,2025-06-21
6319975,32037583,Bruxelles,Entire home/apt,50.84542,4.38077,95.0,200,2025-06-21
6321011,32037583,Bruxelles,Entire home/apt,50.84585,4.38279,76.0,112,2025-06-21
6321282,32037583,Bruxelles,Entire home/apt,50.84612,4.38096,69.0,232,2025-06-21
6321511,32037583,Bruxelles,Entire home/apt,50.81653,4.37137,69.0,232,2025-06-21
6321692,32037583,Bruxelles,Entire home/apt,50.81859,4.37164,76.0,218,2025-06-21
6321933,32037583,Bruxelles,Entire home/apt,50.8165,4.37159,69.0,255,2025-06-21
6322097,32898393,Uccle,Private room,50.80995,4.36204,80.0,358,2025-06-21
6322280,32037583,Ixelles,Entire home/apt,50.81857,4.36981,76.0,190,2025-06-21
6351383,30766980,Bruxelles,Private room,50.84789,4.34398,250.0,211,2025-06-21
6396833,31493706,Bruxelles,Entire home/apt,50.86167,4.35025,95.0,228,2025-06-21
6456769,33719175,Saint-Gilles,Entire home/apt,50.82471,4.34203,83.0,174,2025-06-21
6520633,13817230,Woluwe-Saint-Pierre,Private room,50.83748,4.43053,3150.0,364,2025-06-21
6551763,34267253,Forest,Entire home/apt,50.82575,4.3324,111.0,15,2025-06-21
6568096,11609193,Auderghem,Entire home/apt,50.82356,4.42928,70.0,173,2025-06-21
6609586,34585054,Woluwe-Saint-Pierre,Entire home/apt,50.83712,4.45731,84.0,303,2025-06-21
6618409,34636827,Molenbeek-Saint-Jean,Entire home/apt,50.86056,4.34549,149.0,254,2025-06-21
6620672,4200514,Bruxelles,Private room,50.84799,4.38788,58.0,266,2025-06-21
6641059,31604754,Anderlecht,Private room,50.82481,4.29393,36.0,0,2025-06-21
6707251,35114089,Woluwe-Saint-Pierre,Entire home/apt,50.83777,4.41321,247.0,20,2025-06-21
6707880,31379951,Schaerbeek,Private room,50.86885,4.39114,51.0,125,2025-06-21
6708784,30766980,Bruxelles,Private room,50.84819,4.3441,234.0,211,2025-06-21
6720124,18628261,Saint-Josse-ten-Noode,Entire home/apt,50.85472,4.37247,78.0,314,2025-06-21
6736250,35277370,Forest,Entire home/apt,50.81751,4.34736,90.0,87,2025-06-21
6776651,35476205,Uccle,Entire home/apt,50.78308,4.37608,57.0,171,2025-06-21
6788954,22983043,Bruxelles,Entire home/apt,50.84428,4.34853,92.0,219,2025-06-21
6789462,6751592,Bruxelles,Entire home/apt,50.85803,4.34838,47.0,111,2025-06-21
6794626,20353131,Bruxelles,Entire home/apt,50.84263,4.34989,54.0,131,2025-06-21
6797111,18628261,Saint-Josse-ten-Noode,Entire home/apt,50.85672,4.37228,73.0,293,2025-06-21
6805719,18871892,Anderlecht,Entire home/apt,50.83521,4.29939,45.0,183,2025-06-21
6839388,11718422,Woluwe-Saint-Lambert,Entire home/apt,50.842948704204254,4.40130663928166,133.0,194,2025-06-21
6888861,10967001,Bruxelles,Entire home/apt,50.89101,4.34401,62.0,145,2025-06-21
6891740,36113577,Bruxelles,Entire home/apt,50.87931,4.35038,118.0,172,2025-06-21
6980944,56149,Saint-Gilles,Entire home/apt,50.83032,4.348,77.0,149,2025-06-21
7039407,12117920,Molenbeek-Saint-Jean,Private room,50.86223,4.33673,56.0,357,2025-06-21
7083765,424118065,Bruxelles,Entire home/apt,50.85351894501608,4.346764287870916,107.0,158,2025-06-21
7108533,30476319,Etterbeek,Entire home/apt,50.84095,4.39696,66.0,48,2025-06-21
7185821,37646360,Saint-Gilles,Entire home/apt,50.82407,4.35481,84.0,172,2025-06-21
7305954,12394948,Auderghem,Entire home/apt,50.80663,4.44104,179.0,214,2025-06-21
7323398,37043509,Saint-Josse-ten-Noode,Private room,50.85736,4.36696,43.0,213,2025-06-21
7367095,15277191,Bruxelles,Entire home/apt,50.8488,4.35066,91.0,291,2025-06-21
7378867,38655034,Molenbeek-Saint-Jean,Private room,50.85847,4.34525,45.0,54,2025-06-21
7382144,424118065,Bruxelles,Entire home/apt,50.85372,4.3455,114.0,328,2025-06-21
7382613,424118065,Bruxelles,Entire home/apt,50.8535722735791,4.346395969228721,106.0,345,2025-06-21
7386553,38694498,Schaerbeek,Private room,50.86226272583008,4.3611249923706055,81.0,56,2025-06-21
7387050,16167120,Uccle,Entire home/apt,50.79813,4.35678,342.0,286,2025-06-21
